data_period,customer_age,Education,Marital_Status,Income,children_home,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,total_spending,Dt_Customer
training,55,PhD,Married,75032.0,1,74,2,5,4,9,3,1215,2013-04-28
training,34,Graduation,Married,80011.0,1,3,2,8,6,5,4,1395,2013-04-29
training,59,Graduation,Single,57959.0,1,71,5,4,7,11,3,868,2013-05-02
training,56,Basic,Single,15056.0,2,76,5,2,2,3,5,88,2013-05-03
training,49,Master,Single,35791.0,3,94,2,1,0,3,8,35,2013-05-06
training,53,PhD,Single,84865.0,0,1,1,2,4,9,4,1688,2013-05-09
training,36,PhD,Single,31626.0,1,12,1,2,1,2,7,86,2013-05-10
training,34,Graduation,Married,15072.0,2,96,4,3,1,3,5,53,2013-05-10
training,68,PhD,Together,44124.0,1,62,4,6,2,5,8,397,2013-05-11
training,62,Graduation,Together,83844.0,0,57,1,4,4,11,1,1574,2013-05-12
training,51,Master,Divorced,48721.0,2,50,6,4,2,5,6,293,2013-05-13
training,43,Graduation,Together,38590.0,1,65,1,1,0,2,8,22,2013-05-15
training,56,2n Cycle,Together,53083.0,2,65,6,5,1,5,7,271,2013-05-15
training,33,Graduation,Married,54386.0,1,8,2,3,2,10,3,470,2013-05-17
training,60,PhD,Single,74637.0,0,73,1,6,9,9,3,1650,2013-05-18
training,45,Master,Single,62772.0,1,74,1,5,6,11,2,946,2013-05-19
training,35,2n Cycle,Married,54210.0,1,18,2,4,1,7,5,367,2013-05-20
training,31,Graduation,Divorced,82025.0,0,76,1,3,2,6,1,1187,2013-05-28
training,50,Graduation,Single,18701.0,2,95,4,2,0,4,5,44,2013-06-04
training,43,Master,Together,157733.0,1,37,0,1,0,1,1,59,2013-06-04
training,62,Graduation,Single,84574.0,0,72,1,9,11,11,5,1375,2013-06-04
training,65,Master,Married,48150.0,1,24,3,5,1,4,7,266,2013-06-08
training,56,Graduation,Together,53977.0,1,21,5,5,5,12,5,907,2013-06-08
training,54,Master,Married,28520.0,2,55,1,1,1,2,6,43,2013-06-14
training,61,Master,Together,56129.0,1,65,4,6,2,10,4,660,2013-06-20
training,61,Master,Together,56129.0,1,65,4,6,2,10,4,660,2013-06-20
training,31,PhD,Married,50150.0,0,32,2,5,2,7,5,410,2013-06-20
training,42,PhD,Single,38578.0,2,2,3,3,0,3,8,73,2013-06-22
training,43,PhD,Married,60585.0,2,17,10,7,4,9,5,736,2013-06-24
training,48,Graduation,Together,60894.0,1,61,5,10,3,8,7,832,2013-06-28
training,40,Graduation,Married,34421.0,1,81,1,1,0,2,7,30,2013-07-01
training,40,Graduation,Married,34421.0,1,81,1,1,0,2,7,30,2013-07-01
training,25,Graduation,Married,28691.0,1,56,1,1,0,3,8,34,2013-07-04
training,48,Graduation,Married,44529.0,1,98,6,6,2,11,5,691,2013-07-05
training,40,PhD,Together,28440.0,1,87,1,2,0,3,8,63,2013-07-07
training,74,PhD,Single,51141.0,0,96,1,3,1,4,5,157,2013-07-08
training,42,Master,Married,57136.0,2,48,9,5,2,10,6,642,2013-07-09
training,40,Graduation,Married,30631.0,1,75,1,3,1,2,7,70,2013-07-12
training,54,2n Cycle,Widow,46779.0,2,55,1,0,1,2,4,23,2013-07-12
training,56,Master,Together,42315.0,1,90,3,1,4,4,3,270,2013-07-12
training,51,Graduation,Divorced,45146.0,2,28,2,1,1,2,4,53,2013-07-15
training,62,Graduation,Married,67433.0,2,51,4,6,5,13,4,992,2013-07-16
training,49,PhD,Single,40637.0,2,72,2,1,0,3,7,38,2013-07-17
training,56,Graduation,Together,46610.0,0,4,1,6,1,6,6,467,2013-07-18
training,25,Graduation,Single,81217.0,0,77,1,3,7,11,1,1157,2013-07-19
training,32,2n Cycle,Together,41039.0,0,32,1,8,1,5,8,467,2013-07-25
training,26,Graduation,Together,87679.0,0,62,1,7,11,10,4,2524,2013-07-27
training,49,PhD,Divorced,36921.0,2,74,2,2,0,3,7,38,2013-07-28
training,42,Graduation,Married,40321.0,2,59,2,3,0,3,7,102,2013-07-29
training,50,PhD,Married,59304.0,1,81,3,7,8,10,5,1048,2013-07-29
training,58,Master,Married,63915.0,2,2,2,6,3,12,5,789,2013-07-30
training,28,Graduation,Together,34728.0,1,2,1,1,1,2,6,36,2013-07-30
training,43,Graduation,Single,22804.0,1,75,1,2,0,2,9,26,2013-07-31
training,36,2n Cycle,Together,38702.0,1,71,2,3,0,4,6,109,2013-08-01
training,30,2n Cycle,Married,65370.0,0,1,1,2,3,13,1,461,2013-08-01
training,48,Graduation,Married,61286.0,1,34,2,7,1,8,5,608,2013-08-02
training,29,Graduation,Single,22327.0,1,94,1,1,0,3,5,24,2013-08-02
training,58,Graduation,Together,64090.0,1,8,1,6,9,4,5,797,2013-08-07
training,38,2n Cycle,Together,25176.0,2,79,1,1,0,2,7,13,2013-08-10
training,43,Master,Divorced,74290.0,1,70,4,10,8,10,6,1217,2013-08-12
training,50,PhD,Married,41551.0,2,51,5,5,1,5,8,279,2013-08-14
training,40,Graduation,Single,42373.0,2,83,5,2,1,5,5,163,2013-08-15
training,44,Graduation,Divorced,54137.0,1,46,2,4,1,4,6,203,2013-08-16
training,32,Graduation,Together,40479.0,1,95,1,0,0,3,4,15,2013-08-17
training,55,Graduation,Together,57957.0,1,24,7,4,6,8,3,637,2013-08-19
training,55,Graduation,Together,24221.0,0,94,1,1,1,3,4,55,2013-08-20
training,38,2n Cycle,Together,26907.0,2,10,2,1,0,3,7,22,2013-08-20
training,37,Graduation,Married,72117.0,1,34,1,9,7,9,5,1073,2013-08-20
training,49,Graduation,Together,71613.0,0,26,1,8,2,10,4,776,2013-08-21
training,44,Graduation,Married,13260.0,2,48,4,3,0,3,8,49,2013-08-23
training,67,Graduation,Together,74485.0,0,58,1,6,7,12,3,1734,2013-08-24
training,49,Master,Together,45143.0,1,74,3,6,1,5,7,311,2013-08-26
training,40,PhD,Single,68352.0,1,47,3,8,5,9,6,871,2013-08-28
training,27,2n Cycle,Married,30390.0,0,5,1,2,0,3,6,80,2013-09-02
training,43,PhD,Married,60491.0,1,81,4,6,11,7,5,1028,2013-09-06
training,28,2n Cycle,Married,21955.0,1,81,2,2,1,3,6,55,2013-09-07
training,42,PhD,Married,59973.0,0,47,1,3,4,7,1,382,2013-09-11
training,43,Graduation,Single,72258.0,1,28,2,6,9,5,2,1525,2013-09-12
training,41,Graduation,Divorced,78901.0,1,99,3,9,3,5,4,734,2013-09-17
training,59,Graduation,Single,72906.0,0,79,1,3,4,9,1,1151,2013-09-17
training,61,Graduation,Together,80812.0,0,95,1,4,8,5,2,1677,2013-09-17
training,38,Graduation,Married,56939.0,1,19,2,3,3,10,3,561,2013-09-18
training,31,Master,Married,36262.0,0,24,1,3,5,3,6,426,2013-09-20
training,65,Graduation,Widow,70165.0,0,60,1,3,7,11,1,926,2013-09-22
training,28,Master,Single,19485.0,2,80,1,1,0,2,7,10,2013-09-24
training,68,Master,Married,66835.0,0,21,1,6,4,13,2,1033,2013-09-28
training,67,PhD,Married,67472.0,1,93,2,4,2,7,3,414,2013-09-28
training,69,Graduation,Married,69755.0,0,23,1,3,6,12,1,894,2013-10-02
training,66,PhD,Together,46681.0,2,52,2,4,6,4,5,425,2013-10-08
training,41,Graduation,Divorced,89694.0,2,22,3,4,3,4,5,1472,2013-10-09
training,47,Graduation,Single,25930.0,2,87,1,1,0,2,7,15,2013-10-10
training,34,Graduation,Married,37406.0,1,18,1,1,0,2,8,17,2013-10-10
training,57,Graduation,Together,42213.0,1,96,2,5,1,7,7,363,2013-10-12
training,33,2n Cycle,Together,19414.0,1,32,1,1,0,3,8,32,2013-10-16
training,33,Graduation,Married,26872.0,0,0,1,1,1,2,6,72,2013-10-16
training,50,Graduation,Married,48920.0,2,93,3,6,2,5,7,347,2013-10-20
training,45,PhD,Together,42731.0,1,64,3,4,1,5,5,244,2013-10-21
training,57,Graduation,Married,55267.0,1,28,4,3,4,6,3,405,2013-10-21
training,21,Graduation,Single,70515.0,0,12,1,6,6,4,2,1258,2013-10-21
training,43,Graduation,Divorced,29819.0,1,77,3,3,0,3,6,39,2013-10-24
training,38,2n Cycle,Together,36301.0,1,53,1,3,0,3,7,78,2013-10-25
training,22,Basic,Single,15253.0,1,13,2,1,0,3,7,29,2013-10-28
training,29,Graduation,Single,72903.0,0,74,1,7,5,8,4,2013,2013-10-29
training,40,Master,Together,43018.0,1,46,1,2,2,2,5,133,2013-11-01
training,54,PhD,Married,49154.0,2,69,6,4,1,8,6,411,2013-11-03
training,53,Graduation,Single,45938.0,0,46,2,8,4,6,6,636,2013-11-03
training,38,Master,Married,49681.0,2,66,6,7,1,7,7,458,2013-11-04
training,43,PhD,Divorced,86979.0,0,67,1,5,5,5,2,1702,2013-11-07
training,43,2n Cycle,Married,54690.0,2,76,3,3,1,5,3,198,2013-11-07
training,49,Master,Single,69882.0,0,94,1,3,7,9,1,1478,2013-11-10
training,38,Graduation,Married,17649.0,1,70,3,3,0,3,8,45,2013-11-12
training,45,Graduation,Together,21918.0,1,37,2,2,0,3,6,33,2013-11-14
training,54,PhD,Single,76045.0,0,78,1,4,5,11,2,1323,2013-11-15
training,55,2n Cycle,Divorced,59052.0,1,29,3,7,1,7,5,491,2013-11-17
training,69,PhD,Together,71604.0,0,3,1,8,3,5,4,1196,2013-11-17
training,39,2n Cycle,Together,19789.0,1,24,3,2,1,3,5,78,2013-11-20
training,38,PhD,Divorced,55412.0,2,65,1,2,0,3,5,63,2013-11-22
training,33,Graduation,Single,41967.0,2,66,1,1,0,3,4,54,2013-11-23
training,61,Graduation,Married,48686.0,3,8,1,1,0,2,8,20,2013-12-04
training,37,Graduation,Together,39771.0,1,92,1,2,0,3,4,50,2013-12-06
training,55,PhD,Widow,67786.0,0,0,1,3,6,6,1,1156,2013-12-07
training,67,Master,Together,78093.0,0,53,1,4,7,5,1,1105,2013-12-11
training,55,Graduation,Married,42243.0,2,34,2,2,0,3,7,55,2013-12-11
training,24,Graduation,Married,35765.0,1,86,2,2,0,4,6,75,2013-12-11
training,63,PhD,Married,78939.0,0,57,1,8,5,6,3,1507,2013-12-12
training,46,Graduation,Married,19329.0,1,39,3,4,0,3,8,60,2013-12-14
training,39,Master,Married,37368.0,1,4,1,1,0,2,6,30,2013-12-16
training,48,Graduation,Married,54198.0,2,13,6,3,1,6,4,235,2013-12-17
training,59,Master,Single,51124.0,2,79,2,1,0,3,3,43,2013-12-18
training,61,PhD,Married,55707.0,1,91,2,3,2,9,3,428,2013-12-22
training,41,Graduation,Single,34853.0,2,75,2,2,0,3,6,34,2013-12-23
training,39,Graduation,Widow,58330.0,1,87,1,6,4,13,4,1064,2013-12-25
training,67,2n Cycle,Married,81044.0,0,0,1,5,6,10,1,1208,2013-12-27
training,36,2n Cycle,Single,36975.0,1,50,1,1,0,3,7,33,2013-12-28
training,55,PhD,Married,36732.0,2,71,3,1,1,4,2,47,2013-12-29
